Date,Berkeley_Temperature,CRU_Temperature,NASA_Temperature,NOAA_Temperature,Global_Temp_Avg,Warming_Velocity_12m,Warming_Velocity_10y,Temp_Volatility_12m,Trend_Component,Seasonal_Component,Residual_Component,Decade
1850-01-01,-0.38,-0.734,,-1.046,-0.72,,,,-0.503663220969533,-0.15187379046662094,-0.06446298856384602,1850
1850-02-01,-0.186,-0.36,,-0.777,-0.441,,,,-0.5002481100708782,0.007191662098680913,0.05205644797219727,1850
1850-03-01,-0.22,-0.627,,-0.853,-0.567,,,,-0.4966838816024893,-0.12877186927449893,0.05845575087698823,1850
1850-04-01,-0.738,-0.605,,-0.99,-0.778,,,,-0.4929336212945116,-0.31890161078334406,0.03383523207785566,1850
1850-05-01,-0.276,-0.532,,-0.839,-0.549,,,,-0.4889981493779399,-0.025394834558553094,-0.03460701606350708,1850
1850-06-01,-0.239,-0.352,,-0.62,-0.404,,,,-0.48490665774919883,0.10118799665111415,-0.020281338901915302,1850
1850-07-01,-0.16,-0.176,,-0.532,-0.289,,,,-0.48069127598203876,0.19532251693049374,-0.0036312409484549613,1850
1850-08-01,-0.17,-0.223,,-0.607,-0.333,,,,-0.47639045671549635,0.1281012358681839,0.015289220847312435,1850
1850-09-01,-0.253,-0.394,,-0.687,-0.445,,,,-0.4720695429135224,0.05831775653901304,-0.03124821362549063,1850
1850-10-01,-0.161,-0.516,,-0.813,-0.497,,,,-0.46785265862452324,0.00920381678980235,-0.038351158165279065,1850
1850-11-01,-0.102,-0.277,,-0.734,-0.371,,,,-0.46391070787056,0.0954785131440642,-0.002567805273504198,1850
1850-12-01,-0.483,-0.322,,-0.641,-0.482,,,0.1466,-0.4600191508996312,0.011577358289619567,-0.03355820738998838,1850
1851-01-01,-0.408,-0.266,,-0.771,-0.482,0.238,,0.1275,-0.4526270022568564,-0.13400071857435672,0.10462772083121313,1850
1851-02-01,-0.304,-0.467,,-0.732,-0.501,-0.06,,0.1274,-0.44385033623626946,-0.039637788693023326,-0.017511875070707228,1850
1851-03-01,-0.332,-0.641,,-0.882,-0.618,-0.051,,0.1315,-0.4342693181327974,-0.11168685954273072,-0.07204382232447187,1850
1851-04-01,-0.596,-0.528,,-0.944,-0.689,0.089,,0.1146,-0.42441368158871456,-0.25559518004805426,-0.008991138363231121,1850
1851-05-01,-0.254,-0.222,,-0.777,-0.418,0.131,,0.1127,-0.41460183978335924,-0.019891377539171855,0.016493217322531117,1850
1851-06-01,-0.129,-0.207,,-0.583,-0.306,0.098,,0.1205,-0.4050077894546091,0.09689388388460958,0.002113905569999519,1850
1851-07-01,-0.096,-0.136,,-0.433,-0.222,0.067,,0.13,-0.3962021240313991,0.17661574669063712,-0.002413622659238057,1850
1851-08-01,-0.283,-0.148,,-0.409,-0.28,0.053,,0.135,-0.3883819121512351,0.1114965872999176,-0.0031146751486825774,1850
1851-09-01,-0.16,-0.146,,-0.611,-0.306,0.139,,0.1406,-0.38119797825228396,0.05950853731046527,0.015689440941818678,1850
1851-10-01,-0.079,-0.045,,-0.568,-0.231,0.266,,0.1499,-0.3743519858811187,0.02358624315856745,0.1197657427225512,1850
1851-11-01,-0.153,-0.108,,-0.642,-0.301,0.07,,0.1529,-0.36778688674482873,0.0560139742130175,0.01077291253181123,1850
1851-12-01,-0.159,-0.248,,-0.625,-0.344,0.138,,0.1516,-0.36126014952786023,0.011881881772720732,0.005378267755139499,1850
1852-01-01,-0.304,-0.346,,-0.669,-0.44,0.042,,0.1498,-0.3551417801544884,-0.11546193546802834,0.030603715622516736,1850
1852-02-01,-0.299,-0.496,,-0.861,-0.552,-0.051,,0.1539,-0.3496314677086087,-0.07973813842842443,-0.12263039386296692,1850
1852-03-01,-0.506,-0.567,,-0.954,-0.676,-0.058,,0.1623,-0.34463699661241837,-0.09269251354709405,-0.2386704898404876,1850
1852-04-01,-0.445,-0.575,,-0.806,-0.609,0.08,,0.1505,-0.34041157888857454,-0.18863769573213626,-0.07995072537928916,1850
1852-05-01,-0.149,-0.113,,-0.645,-0.302,0.116,,0.1522,-0.3372531484716154,-0.017080038762182462,0.05233318723379787,1850
1852-06-01,-0.147,-0.077,,-0.426,-0.217,0.089,,0.1583,-0.3350711175073995,0.08888595156189541,0.029185165945504077,1850
1852-07-01,-0.049,0.009,,-0.502,-0.181,0.041,,0.1622,-0.33341280478797075,0.1556327181245957,-0.003219913336624969,1850
1852-08-01,-0.149,-0.149,,-0.528,-0.275,0.005,,0.1625,-0.33182265023974783,0.09641934795632298,-0.0395966977165752,1850
1852-09-01,-0.063,-0.006,,-0.487,-0.185,0.121,,0.1703,-0.33013508703214206,0.05981942781071066,0.08531565922143142,1850
1852-10-01,-0.129,-0.158,,-0.566,-0.284,-0.053,,0.1674,-0.32870648368389377,0.041674355119101905,0.0030321285647919027,1850
1852-11-01,0.033,-0.275,,-0.638,-0.293,0.008,,0.1677,-0.3279793729771046,0.02039170055524613,0.014587672421858489,1850
1852-12-01,-0.278,0.064,,-0.531,-0.248,0.096,,0.1709,-0.32849240451618805,0.008674592612989477,0.07181781190319858,1850
1853-01-01,-0.396,-0.204,,-0.778,-0.459,-0.019,,0.1719,-0.33074932754922504,-0.10151278049667066,-0.02673789195410431,1850
1853-02-01,-0.158,-0.399,,-0.838,-0.465,0.087,,0.1646,-0.33494823822394265,-0.11639844233854357,-0.0136533194375138,1850
1853-03-01,-0.237,-0.273,,-0.827,-0.446,0.23,,0.1335,-0.3410227611139422,-0.07678497289487296,-0.02819226599118485,1850
1853-04-01,-0.109,-0.401,,-0.853,-0.454,0.155,,0.1095,-0.3486586852776395,-0.1203412235689638,0.014999908846603294,1850
1853-05-01,-0.212,-0.27,,-0.624,-0.369,-0.067,,0.1103,-0.35733102306280906,-0.017934664743165542,0.006265687805974585,1850
1853-06-01,-0.078,-0.124,,-0.521,-0.241,-0.024,,0.1084,-0.36583324866680367,0.07547804180598734,0.04935520686081635,1850
1853-07-01,-0.062,-0.072,,-0.404,-0.179,0.002,,0.1087,-0.3729655772621963,0.1273544477115114,0.06661112955068493,1850
